University ,Year ,Ranking ,Tier 
Harvard,2005,2,
Harvard,2005,2,
Harvard,2005,5,
Harvard,2005,5,
Harvard,2005,5,
Harvard,2005,9,
Harvard,2005,9,
Harvard,2005,9,
MIT,2020,1,3
MIT,2020,1,3
MIT,2020,8,
MIT,2020,5,
MIT,2020,1,3
MIT,2020,1,3
MIT,2020,3,
MIT,2020,1,1
MIT,2020,1,1
MIT,2020,8,
MIT,2020,1,3
MIT,2020,1,3
MIT,2020,8,
MIT,2020,1,2
MIT,2020,1,1
MIT,2020,1,2
MIT,2020,8,
MIT,2020,1,1
MIT,2020,1,3
MIT,2020,1,3
MIT,2019,1,3
MIT,2019,1,3
MIT,2019,1,1
MIT,2019,1,3
MIT,2019,1,1
MIT,2019,1,1
MIT,2019,8,
MIT,2019,1,1
MIT,2019,1,1
MIT,2019,1,1
MIT,2019,1,1
MIT,2019,1,2
MIT,2019,1,3
MIT,2019,1,3
MIT,2019,3,
MIT,2018,10,
MIT,2018,6,
MIT,2018,1,2
MIT,2018,1,3
MIT,2018,5,
MIT,2018,6,
MIT,2018,1,1
MIT,2018,1,1
MIT,2018,1,1
MIT,2018,1,1
MIT,2018,1,2
MIT,2018,1,1
MIT,2018,1,1
MIT,2018,1,2
MIT,2018,1,3
MIT,2018,10,
MIT,2018,1,3
MIT,2018,8,
MIT,2018,1,1
MIT,2018,1,1
MIT,2018,1,1
MIT,2017,5,
MIT,2017,5,
MIT,2017,1,1
MIT,2017,1,1
MIT,2017,1,3
MIT,2017,3,
MIT,2017,1,1
MIT,2017,1,1
MIT,2017,5,
MIT,2017,8,
MIT,2017,1,3
MIT,2017,1,3
MIT,2017,1,3
MIT,2017,1,3
MIT,2017,1,3
MIT,2017,1,1
MIT,2017,1,3
MIT,2017,1,3
MIT,2017,8,
MIT,2016,1,2
MIT,2016,2,
MIT,2016,2,
MIT,2016,2,
MIT,2016,2,
MIT,2016,10,
MIT,2016,5,
MIT,2016,6,
MIT,2016,6,
MIT,2016,9,
MIT,2016,1,3
MIT,2016,1,3
MIT,2016,1,3
MIT,2016,1,3
MIT,2016,1,3
MIT,2016,3,
MIT,2016,6,
MIT,2016,1,1
MIT,2016,1,1
MIT,2016,1,2
MIT,2016,10,
MIT,2016,1,2
MIT,2016,1,1
MIT,2016,10,
MIT,2016,1,1
MIT,2016,5,
MIT,2015,10,
MIT,2015,5,
MIT,2015,1,1
MIT,2015,9,
MIT,2015,9,
MIT,2015,6,
MIT,2015,1,3
MIT,2015,3,
MIT,2015,1,1
MIT,2015,1,1
